TEAMS,Google Trends Interest,Cum. Player Value (M),Year,Squad size,Average Player Value (M),Stadium Capacity,Cum. Attendance,Average Attendance,Average PCT Attended,Average Age,Foreigners,Wins,Winning Percentage,Draws,Losses,Losing Percentage,+/-,Total Points,Team Values (M),Revenue (M),Conference Champion,Games Played,Goals,Goals per game,Assists,Shots,Shot Accuracy,Shots on Goal,Fouls Committed,Fouls Suffered,Offsides,Corner Kicks,Penalty Kick Goals,Penalty Kick Attempts
ATL,292,69.78,2019,35,1.9937,73000,892663,52510,0.719,23.7,19,18,0.529,4,12,0.353,15,58,500,78,0,34,58,1.706,48,509,0.114,179,350,419,56,195,8,10
CHI,224,22.83,2019,32,0.7134,61500,209516,12324,0.2,25,19,10,0.294,12,12,0.353,8,42,335,23,0,34,55,1.618,49,478,0.115,165,407,374,61,167,3,5
COL,381,19.83,2019,32,0.6197,20145,242833,14284,0.709,24.6,14,12,0.353,6,16,0.471,-5,42,190,18,0,34,58,1.706,46,483,0.12,177,407,368,49,168,5,8
COLUMB,260,26.98,2019,39,0.6918,20145,252555,14856,0.737,25.4,22,10,0.294,8,16,0.471,-8,38,200,18,0,34,39,1.147,36,395,0.099,127,398,366,55,189,4,5
DCU,87,32.75,2019,32,1.0234,20000,301644,17744,0.887,24.6,17,13,0.382,11,10,0.294,4,50,330,41,0,34,42,1.235,32,428,0.098,123,387,405,50,163,4,4
DAL,515,24.65,2019,34,0.725,20500,252313,14842,0.724,23,16,13,0.382,9,12,0.353,8,48,220,33,0,34,54,1.588,47,470,0.115,166,427,420,51,193,4,5
Houston Dynamo,336,23.1,2019,37,0.6243,22039,266464,15674,0.711,25.2,22,12,0.353,4,18,0.529,-10,40,280,23,0,34,49,1.441,47,454,0.108,148,415,426,67,179,4,5
Los Angeles FC,528,56.9,2019,32,1.7781,22000,356162,22260,1,23.8,19,21,0.618,9,4,0.118,48,72,475,50,1,34,85,2.5,75,621,0.137,234,396,440,74,217,9,11
Los Angeles Galaxy,118,37.35,2019,35,1.0671,27000,394477,23205,0.859,24.6,17,16,0.471,3,15,0.441,-1,51,480,64,0,34,58,1.706,62,470,0.123,173,383,306,85,185,7,8
Minnesota United FC,165,19.7,2019,31,0.6355,19400,335291,19723,1,25.5,18,15,0.441,8,11,0.324,9,53,300,24,0,34,52,1.529,46,467,0.111,148,391,337,51,158,6,7
